LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frames),(pixels/frames),(pixels),(frames),(pixels),(pixels),(pixels),
ID32832 → ID32810,0,32832,32810,0.16694431223227058,1.419706732769133,1.7184149173720698,1.7184149173720698,39.5,110.66194569811591,65.62228838236348,0.0,
ID32033 → ID32152,0,32033,32152,0.10178901912399752,0.11987615994064048,1.1334938142335589,1.1334938142335589,1.5,111.45032043698745,66.58513859924265,0.0,
ID32267 → ID32269,0,32267,32269,0.04751029612712232,2.661633537476651,0.32137765832845083,0.32137765832845083,17.5,109.26175322714164,63.2656584245258,0.0,
ID32123 → ID32845,0,32123,32845,0.093759331143625,2.159421631057884,0.9327650987404479,0.9327650987404479,9.5,111.1678008621299,64.42298384880534,0.0,
ID32459 → ID32488,0,32459,32488,0.05085301427859856,0.40202432215965206,0.4993945325530904,0.4993945325530904,26.5,111.62813441280247,64.82996794317808,0.0,
ID32275 → ID32203,0,32275,32203,0.06247069660299165,0.6042732727040221,0.5618271979593626,0.5618271979593626,14.5,109.48528953653386,63.256206918212385,0.0,
ID32580 → ID32620,0,32580,32620,0.0586415745698079,0.4608806216311981,0.6381333824380181,0.6381333824380181,31.5,111.90391166567638,66.57361606258665,0.0,
ID32723 → ID32737,0,32723,32737,0.0710702341137116,0.6452301730341831,0.6778048695827172,0.6778048695827172,36.5,110.91257841951374,65.15445422838019,0.0,
ID32780 → ID32832,0,32780,32832,0.05180903446799634,2.7815887821401697,0.4274968627638476,0.4274968627638476,38.5,111.31116013862024,64.97596644637869,0.0,
ID32547 → ID32579,0,32547,32579,0.07380216383307592,1.6821386985385203,0.7242884847771882,0.7242884847771882,29.5,112.49727565392354,66.98149698189135,0.0,
ID32045 → ID32671,0,32045,32671,0.03316326530612246,1.7394441747907716,0.2574179302721549,0.2574179302721549,6.5,111.54955427994014,66.24487764339844,0.0,
