LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/s),(µm/s),(µm),(s),(µm),(µm),(µm),
ID132260 → ID132578,0,132260,132578,0.16115702479340122,0.0019544324432627783,4.2383842730094555E-4,0.38151943185022813,11251.912499999999,59.85431786129581,35.864965911172675,0.0,
ID133457 → ID133470,0,133457,133470,0.14595660749508266,0.0031584256761786507,3.5235033861940874E-4,0.3171692143592761,24754.207499999997,59.11469217475896,35.714292344499654,0.0,
ID136534 → ID136803,0,136534,136803,0.13546798029557017,0.002838976295882738,3.289438015753857E-4,0.29609974981948767,53559.1035,59.16830351690234,34.841568187882686,0.0,
ID136993 → ID136989,0,136993,136989,0.1582568807339234,0.002937334643052131,4.1477896193085743E-4,0.37336452691894645,56259.5625,59.13313493254881,34.88836053132434,0.0,
ID132361 → ID132466,0,132361,132466,0.21109123434707144,0.0016295097293912368,6.76786973301417E-4,0.6092118243781905,14852.5245,59.59209574680114,35.61966399933821,0.0,
ID135829 → ID136060,0,135829,136060,0.1403118040089142,0.003075891355070189,3.8830028416955595E-4,0.3495296656960777,49058.3385,59.29704361442013,34.90310904698019,0.0,
ID132704 → ID132521,0,132704,132521,0.09122807017541812,0.002982805609355964,2.487287298250692E-4,0.22389391233822512,19353.2895,59.27771434656377,35.7530471596516,0.0,
ID136803 → ID136942,0,136803,136942,0.1302211302211339,0.0023590780492744453,1.5451463682588238E-4,0.13908681388272826,54459.25649999999,59.20645743436377,34.961935526242115,0.0,
ID131418 → ID131805,0,131418,131805,0.1871227364184318,0.0018279764472381368,5.147869760817944E-4,0.46338704088095567,7651.300499999999,60.61409283496299,35.821139455640406,0.0,
ID134243 → ID133499,0,134243,133499,0.1531728665208083,0.0028360004773358696,3.305243351102499E-4,0.29752247182249625,29254.972499999996,59.557686311325114,35.64981347595369,0.0,
