LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID48192,48192,0,595.0,497.6152987158012,419.3020658849805,0.0,1.0,1,13.785173268832098,1,,2871.2763819095476,2930.0,598.0,4814.0,1714152.0,793.2138406349237,0.7586622531110431,3.123062999037545,0.1882889354161371,0.03929768859863422,17.374113677245234,11.317257295663445,1.4330134982188982,1.5351876539824414,597.0,93.59003005055504,0.8564953741134997,0.9802955665024629,3.830384939580681
ID49088,49088,0,568.0,493.06435063031364,422.4284667253005,0.0,37.0,37,13.452106537471558,1,,3385.924561403509,3472.0,821.0,5861.0,1929977.0,870.3331905016736,0.8591226065463026,3.5955790622376202,0.07458080867877974,0.04340000107265966,18.481901510172346,10.245404701543244,1.4947110013773666,1.803921079602493,568.5,93.1536103661648,0.8232674597018163,0.9861231569817867,3.9069194473042654
ID48769,48769,0,629.0,495.9388623072834,425.05608718766615,0.0,25.0,25,14.127289146798004,1,,2974.4960254372018,3135.0,519.0,4833.0,1870958.0,799.7026649280936,0.8131107002118547,3.3361087607479694,0.022799141671646015,0.031102339831701707,17.95982717728379,11.279996516097292,1.4981234378771704,1.5921837521539959,626.9999999999998,95.0217436574135,0.8726325606846737,0.9789227166276343,3.794802911230051
ID48516,48516,0,620.0,495.7914979757085,422.95074224021596,0.0,18.0,18,14.019855731015593,1,,2944.4025974025976,3053.0,657.0,4645.0,1813752.0,657.4640960932994,0.8107513644049595,4.010366038347347,0.12121051196059753,0.19197911026595796,17.71358449268864,11.4415746901172,1.3417635422596654,1.5481771497754557,617.5000000000001,94.6850224318308,0.8655342403657251,0.9770569620253167,3.8103318892108766
ID48581,48581,0,630.0,495.8952991452992,422.96794871794873,0.0,19.0,19,14.093451279891855,1,,2925.9951768488745,3038.0,869.0,4541.0,1819969.0,677.8555427616609,0.7956073270606892,3.8251974285279107,-0.014149889643338973,-0.013053722691970393,17.872656210619922,11.232665308464105,1.3970528933165447,1.5911322664579362,624.0,95.88247747577115,0.8529350462566415,0.9772905246671889,3.8383710251132714
ID48326,48326,0,602.0,495.63828603227597,423.22509738452976,0.0,10.0,10,13.808244704671575,1,,2895.4109816971713,2971.0,628.0,4690.0,1740142.0,699.7977987575185,0.8194984024633475,3.7270401695270965,0.1496003310611559,0.1444449758310711,17.663628084094977,11.180513068798996,1.3317724475890373,1.5798584533108904,598.9999999999999,92.16223048124824,0.8861979328975655,0.992543496271748,3.7656466514137223
ID48710,48710,0,633.0,496.0294892048447,424.66877303844126,0.0,24.0,24,14.194722891072566,1,,2928.7492113564667,3065.0,778.0,4616.0,1856827.0,715.0122869552713,0.8052773065125346,3.6542664700123657,0.06701364255665784,0.013361040097371574,18.0591588161808,11.415764942360045,1.4238288297446375,1.581949077207202,632.9999999999999,95.17758321007962,0.8781005080291011,0.9836829836829835,3.78296930813274
