sequence_uid,sequence_name,dataset,source_split,cell_id,cell_uid,cell_generation,cell_end_reason,cell_lifetime_frames,cell_n_spots,CIRCULARITY,SOLIDITY,ELLIPSE_ASPECTRATIO,shape_radius_cv,shape_area_ratio,shape_reconstruction_area_ratio,shape_contour_centroid_dx,shape_contour_centroid_dy,AREA,PERIMETER,RADIUS,ELLIPSE_MAJOR,ELLIPSE_MINOR,shape_mean_radius,shape_r_norm_000,shape_r_norm_001,shape_r_norm_002,shape_r_norm_003,shape_r_norm_004,shape_r_norm_005,shape_r_norm_006,shape_r_norm_007,shape_r_norm_008,shape_r_norm_009,shape_r_norm_010,shape_r_norm_011,shape_r_norm_012,shape_r_norm_013,shape_r_norm_014,shape_r_norm_015,shape_r_norm_016,shape_r_norm_017,shape_r_norm_018,shape_r_norm_019,shape_r_norm_020,shape_r_norm_021,shape_r_norm_022,shape_r_norm_023,shape_r_norm_024,shape_r_norm_025,shape_r_norm_026,shape_r_norm_027,shape_r_norm_028,shape_r_norm_029,shape_r_norm_030,shape_r_norm_031,shape_r_norm_032,shape_r_norm_033,shape_r_norm_034,shape_r_norm_035,shape_r_norm_036,shape_r_norm_037,shape_r_norm_038,shape_r_norm_039,shape_r_norm_040,shape_r_norm_041,shape_r_norm_042,shape_r_norm_043,shape_r_norm_044,shape_r_norm_045,shape_r_norm_046,shape_r_norm_047,shape_r_norm_048,shape_r_norm_049,shape_r_norm_050,shape_r_norm_051,shape_r_norm_052,shape_r_norm_053,shape_r_norm_054,shape_r_norm_055,shape_r_norm_056,shape_r_norm_057,shape_r_norm_058,shape_r_norm_059,shape_r_norm_060,shape_r_norm_061,shape_r_norm_062,shape_r_norm_063,preterminal_spots,is_observed_division
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,0,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell0,0,death,42,42,0.9162468349833645,0.9845866789561503,1.2832248227097334,0.0990112565395537,1.0000000381648473,0.9999979193091287,-3.900834969378417e-06,3.2913683194121e-06,551.6951219512196,86.98167118679456,13.249664603707698,15.209778169616632,11.857034321798109,13.18480256708657,1.113358390040514,1.1210192529166616,1.1216624161092246,1.1116709098583315,1.0878965389437791,1.069025853785073,1.049912435252492,1.0251369912449906,0.9959658195332783,0.9690951108932495,0.9431701026311735,0.9241681317003761,0.9015247734581552,0.8850223014994365,0.8760974625261818,0.8719029252122088,0.8715420743314232,0.8775951426203658,0.8900013013583857,0.899947909320273,0.9069265665077582,0.9201838286911569,0.940695303242381,0.9600978202936126,0.9867012835130459,1.016746890254137,1.035886089976241,1.0516513731421493,1.0737873635640958,1.0917342348796566,1.1049033810452717,1.117977499961853,1.127212495338626,1.1360757583525123,1.1359641959027547,1.1261476278305054,1.1098264746549653,1.0900372790127266,1.0593011888062083,1.0239567015229203,0.9905222712493524,0.9553033680450626,0.9284187206407872,0.9031627396257912,0.8811670120169477,0.8648602366447449,0.8549186529182806,0.8534851757491507,0.855427111067423,0.8625334966473464,0.8748897343147092,0.8906445256093654,0.9180390427752239,0.938689500820346,0.9586003335510812,0.9837956690206761,1.0074422955513,1.0337858403601297,1.0560446977615356,1.0775671063399896,1.0828856985743454,1.0920870856540958,1.0964056427885847,1.1041788473361875,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,1,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell1,0,death,42,42,0.9221530397772653,0.9841044194027281,1.2493265265431235,0.08679492301930554,1.0000000130659397,0.9999730584453308,-4.9537516839234905e-06,-1.521744518986845e-06,501.0609756097561,82.62350985634795,12.62630076476942,14.262776537974931,11.429041620285934,12.577917843330198,1.1054403171306704,1.1160492141072342,1.1227223698685809,1.126408198984658,1.1143985405200865,1.0943269584237076,1.067935082970596,1.0376275268996633,1.0080985412365053,0.9756095176789819,0.9387979202154206,0.9109225433047224,0.8899248838424683,0.8762825407632967,0.8688437778775285,0.8647732952745949,0.8647231096174659,0.8674994430890898,0.8719429068449067,0.88331490609704,0.9006647976433358,0.9245269254940313,0.9527284750124303,0.9755084078486372,1.0031961842281063,1.037257310820789,1.0686145555682298,1.0870445123532924,1.099077878928766,1.1064323652081374,1.1173079333654263,1.1204051651605746,1.1210376838358438,1.1127706649826794,1.0983644636665904,1.0754857761103933,1.0568931916864908,1.0316570619257486,1.0078585322310285,0.9891186749062887,0.9736168355476565,0.9559061992459181,0.9405504028971602,0.9272928528669404,0.9184644556627041,0.9178347078765311,0.9158791478087263,0.908312168063187,0.9079634939751974,0.9127746907676139,0.9226197440449785,0.9313239498836238,0.9371396913761045,0.94963352127773,0.9629915007730809,0.9768720458193523,0.9908558028500255,1.0052299179681918,1.0159889764902068,1.0284024171712922,1.0388440300778645,1.0596146641708002,1.0748928756248661,1.0891910675095349,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,2,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell2,0,death,42,42,0.9196530163675755,0.9864522619085883,1.3125285212901172,0.10073490921675057,0.9999999641463541,0.999928006340178,-8.629935223338362e-07,-1.4920807242547346e-06,653.1219512195122,94.43274595505704,14.413231994251966,16.688525177562205,12.720731779426737,14.339930743705935,1.1327703231718482,1.1172606334453676,1.1169083089363285,1.1101600396923903,1.079264265734975,1.0476106943153753,1.0230112730002985,1.0025659785038088,0.986447440414894,0.9671364673754064,0.9543150329008335,0.9417000456554133,0.929139272468846,0.9115023322221709,0.9031608846129441,0.8948293400973808,0.8822942434287653,0.8720747857559018,0.8655481760094805,0.8629166483879089,0.8692874675843774,0.8851209835308355,0.9069433430346047,0.9341850644204674,0.9703577698730841,1.0037351774006356,1.040695556780187,1.0750280473290421,1.104870839816768,1.1233994670030547,1.1419870097462723,1.1445370505495769,1.1529020681613829,1.1444916143649961,1.130504433701678,1.1141075564593803,1.0912251879529256,1.0647541982371633,1.0357847824329283,1.0079376116031553,0.9819824055927556,0.9571606008017935,0.93435420641085,0.915752211721932,0.8970956613377827,0.8877761102304226,0.8765422294779521,0.8683986009621039,0.8669884132175911,0.8627795780577311,0.8650375008583069,0.8766257588456317,0.8894488200908754,0.9080654164639915,0.9347773426916541,0.9647227133192667,0.9893929391372495,1.0203274662901716,1.053345848874348,1.0831119519908254,1.1068544940250675,1.1188915473658865,1.1321445412752105,1.1396212897649625,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,3,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell3,0,death,42,42,0.8588091728067749,0.9716143176167251,1.3464776539753869,0.13647839931545536,0.9999999087002054,0.9998698897117896,-4.941143758757134e-07,1.4570307006809173e-06,322.2439024390244,67.63299117722406,9.987240210226798,11.910599698996991,8.911749889417154,9.893410357033334,1.1690399065250303,1.1950305540387223,1.2046587627108505,1.2041681481570732,1.1794883303525971,1.1316027583145514,1.0623713426473664,0.992242850908419,0.9401653350853338,0.8983276253793298,0.8689923562654635,0.8450116079028059,0.8255705222850893,0.8160988325025977,0.8113950927083086,0.815096930759709,0.8218892870879755,0.8352050359656171,0.8554600360916882,0.8795343259485756,0.9074369959714936,0.9316739221898521,0.9571897140363368,0.9855828227066412,1.0116046972391082,1.0366419321153222,1.0662627031163472,1.0860748639920863,1.0966724375399148,1.1124211564296629,1.1263557323595372,1.135221170216072,1.1465033350921259,1.1372644886737917,1.1256466871354638,1.1126201879687425,1.0886344546225013,1.0502393609139977,1.0229895551030228,0.9961715718594993,0.9713299012765652,0.9525448636310857,0.9347578170822888,0.9180353371108451,0.9023956641918276,0.8928357769803303,0.8834380841836696,0.875639953264376,0.874998069391018,0.8760162664622795,0.8798898109575597,0.8897293137341011,0.9012898352087998,0.9086629908259322,0.9252760860978103,0.9452597455280584,0.9635774958424452,0.9858097492194757,1.0115739804942434,1.0333703189361385,1.0557930862031333,1.0726833532496196,1.0935747507141858,1.1291891031148957,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,4,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell4,0,death,42,42,0.9173843519370287,0.984203356171551,1.2957742804284653,0.09654107649826978,0.9999999790687196,1.0001159473868027,2.546704986088587e-06,1.2468669920835963e-07,647.7926829268292,94.16798743861939,14.354096976555326,16.509284037751506,12.75181544873427,14.288205123529202,1.15003736716945,1.1493398707087448,1.1469942273163214,1.1233723338057355,1.100139452189934,1.07115709200138,1.0358199317280838,1.0082794326107676,0.9784791193357328,0.9515354546104989,0.9302152729615932,0.9098124998371776,0.8935780045462818,0.8817996935146611,0.8719665713426543,0.8656515580851857,0.8686088585272068,0.8734726687756981,0.8794746471614372,0.8863471019558791,0.9006990281546988,0.9234868171738415,0.9497633925298365,0.9715836891313878,0.992487536697853,1.0215115852472259,1.0565370990008842,1.07997752108225,1.0955141840911493,1.1076352160151413,1.1182470379806146,1.125733849478931,1.1236402290623362,1.1221556372758819,1.1118073870496052,1.094534341881915,1.0675013588695992,1.0453298382642793,1.027798088585458,1.010308595692239,0.9915232803763413,0.9722837282390129,0.9577835187679384,0.9393610648992585,0.9236039344857379,0.9112347713330897,0.9021100358265203,0.8942150604434129,0.8893519901647801,0.8872125991960851,0.884049110296296,0.8874784635334481,0.8964169839533364,0.9080018313919626,0.9284959028406841,0.9474571027406832,0.9643638322993022,0.9885148842160295,1.0167844033822782,1.0495307082083167,1.0808511652597568,1.1053280307025444,1.1202081470954708,1.1365690696530226,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,5,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell5,0,death,42,42,0.7828510649092385,0.9545821776032049,1.8603280361878043,0.26367728239269095,1.000000131824958,0.9999079876079527,4.067014432555325e-06,-2.5613003883735988e-06,590.7317073170732,97.37934857194627,13.708896046278799,19.053851201456855,10.260635756992802,13.251182463110947,1.3372123299575434,1.3759723233013619,1.3865165710449219,1.355220262597247,1.3084724530941103,1.2340507187494418,1.135663058699631,1.0178801795331442,0.9003341445108739,0.8008923821332978,0.721600006266338,0.6664403764213004,0.6255097956192203,0.5964910838662124,0.576674594384868,0.568059338302147,0.5722248176249062,0.58400369708131,0.6000155893767752,0.6241525876812819,0.6686367566992597,0.7239837079513364,0.7933992350973734,0.8786168796260182,0.982432031049961,1.0923440747144746,1.1813158698198272,1.2437132829573097,1.301193481538354,1.3328409165870854,1.3360559824036389,1.3244353038508718,1.3014125097088698,1.267321947144299,1.2268312442593459,1.1837919717881737,1.1362858923470103,1.0860208534612887,1.0319059883675925,0.9859037646433202,0.9396259799236204,0.8950518820343948,0.8587263299197685,0.8312753918694287,0.8068233699333377,0.7889420680883454,0.7762796311843686,0.7640783626858781,0.7572790471518912,0.7569108605384827,0.7617631380150958,0.7687103035973339,0.7765762355269455,0.7931236828245768,0.8236365521826395,0.8643141112676481,0.9122605294716067,0.9638715052023167,1.0192889920095118,1.07497613749853,1.1341455564266298,1.190881098189005,1.2448221416008183,1.2983606443172548,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,6,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell6,0,death,42,42,0.87081395284409,0.9832891399006957,1.5947608890016705,0.17523106174820868,0.9999999885846514,0.99991374325469,-7.0557402779052135e-06,-4.205942432714867e-06,755.0,104.37792789443151,15.500051805985237,19.811225475003425,12.430517251080431,15.265184774631408,1.2702183112865542,1.2690793043229638,1.250696789927599,1.2248663408000295,1.178445353740599,1.1317064151531313,1.0598467966405356,0.9948082362733236,0.9380331490097976,0.8900691983176441,0.8490700474599513,0.8123867846116787,0.7868241129851923,0.7647254670538554,0.7490358643415498,0.7458829545393223,0.7473639540556001,0.7573035461146657,0.769977611739461,0.789382963645749,0.8180107968609508,0.8560799505652451,0.8982525351570874,0.943667199553513,0.9937928406203665,1.0459981546169375,1.088874026042659,1.1299531895939896,1.171879198493027,1.1983351562081315,1.213888299174425,1.2277474984890078,1.2233803679303425,1.2141808678464192,1.1936099936322468,1.1741174430381962,1.1414465526255166,1.0997449537602866,1.0566039725047787,1.0099926169325666,0.9670755630586205,0.9325786901683342,0.9002050917323042,0.8721523880958557,0.8459308161968138,0.8261109808596169,0.8116297867239975,0.7994729818367377,0.7943230445792036,0.7943279481515652,0.797935788224383,0.8030715831896154,0.8171086151425432,0.8357265722460863,0.8618591471416194,0.8902572378879641,0.9322164683807187,0.9798259197211847,1.0203175079531785,1.073624320146514,1.1304244878815441,1.1823843775725946,1.2263991716431408,1.2563190227601586,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,7,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell7,0,death,42,42,0.8843314500290292,0.9837454883995507,1.4756918116668334,0.14666796072595734,0.9999999563306956,1.0000942334163678,-4.275421385721471e-06,-5.34698113786304e-07,624.9878048780488,94.18659812164074,14.096955498362773,17.341310947531422,11.772980946685543,13.94791142533465,1.214935913318541,1.2169036196499337,1.188776606466712,1.1614703754099405,1.1207586236116363,1.0849296581454393,1.0425147850339005,0.9983483160414347,0.9662519024639595,0.9321404491982809,0.8983299761283688,0.871603779676484,0.8468159495330438,0.8310772907443162,0.8225060236163255,0.8193364506814538,0.8206144295087675,0.8276697353618901,0.8340380002812642,0.8408240545086745,0.8557498338745861,0.8789213575967928,0.9038040856035744,0.9310796900493342,0.9620073234162679,1.000607233221938,1.037490229781081,1.0728113971105435,1.1159419199315512,1.1510840683448604,1.185391490052386,1.2076451458582065,1.224188531317362,1.2201982678436651,1.2115537596911918,1.1819953482325485,1.141642811821728,1.0852805376052856,1.0317881223632068,0.9887780023784172,0.9502340845945405,0.9135949335447172,0.8863283570219831,0.8576914159263053,0.8356650965969737,0.8243006467819214,0.8146451827956409,0.8118694264714311,0.817567857300363,0.8233682876679955,0.8303739719274568,0.8419610654435506,0.8615763696228586,0.8908876151573367,0.9167963935107719,0.9382553812934131,0.9657539492700158,1.005090751299044,1.0459532795882807,1.0858718156814575,1.1263880816901601,1.1575675039756588,1.1877526858957803,1.2027770426215194,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,8,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell8,0,death,42,42,0.7898228417225978,0.9834623024743662,1.4779240186207359,0.22135664919701548,0.9999999662642572,1.0000218365216695,-1.6021375576519708e-06,-1.359586519303561e-06,413.280487804878,80.33627298828354,11.380581023072848,15.076137050309264,10.316762358275717,11.114438964099419,1.3231737148470994,1.3249832624342384,1.2854198551759488,1.191349900350338,1.1010651195921548,1.0153650321611545,0.9454568290128941,0.8910123051666632,0.845566806269855,0.8132540859827181,0.7920896963375371,0.7728647662372123,0.7593264797838722,0.7487876429790403,0.7402081155195469,0.7377466283193449,0.7414754512833386,0.7512850499734646,0.7669364039490862,0.7894078987400707,0.8180611526093832,0.8577764644855406,0.9098434927986889,0.9649284336625076,1.02260232989381,1.071301166604205,1.1144346391282431,1.163235234051216,1.2051154534991195,1.2316493115774014,1.255064359525355,1.2865116334542996,1.3051686490454324,1.2998994152720382,1.2401287352166526,1.1617751935633218,1.075680879558005,1.0062588540519155,0.9541837921956691,0.9089709956471513,0.8673411651355464,0.8341938169991098,0.8080723576429414,0.7886701226234436,0.7758155537814628,0.7706419723789867,0.7690595635553685,0.7664584139498268,0.7682303771740053,0.7767331527500618,0.792841399588236,0.8117106644118705,0.8388750567668821,0.8729183484868306,0.9101162276616911,0.9536624274602751,0.9964253088323082,1.0397240868428859,1.085600509876158,1.1350766231374043,1.1701308968590527,1.2069356150743438,1.2439618866618087,1.2852211550968449,41,False
seq0001_HeLa-S3_nuc_pos11_q0_5c,HeLa-S3_nuc_pos11_q0_5c,DynamicNuclearNet,test,9,seq0001_HeLa-S3_nuc_pos11_q0_5c:cell9,0,death,42,42,0.805441458693587,0.9789709534406368,1.9202486879487088,0.24300379535796873,1.0000000065500225,1.0003682097364697,-2.5827683875260586e-06,-6.1151952734935835e-06,697.5853658536586,104.30580184190575,14.897952127021378,20.893887399411263,10.889148996007565,14.478984902544719,1.3970766561787302,1.3775496133943883,1.3258197976321708,1.2629822783353852,1.1999042557507027,1.114283858275995,1.0332897799771006,0.9618154357119304,0.8977436495990287,0.8436832602431135,0.8007930589885246,0.7639037196229144,0.7367833213108342,0.7190878202275532,0.7026724844444089,0.6940341998891133,0.6952638786013533,0.696053691026641,0.7038785131966195,0.7252500144446768,0.7524671351037374,0.7842777182416218,0.8200606238551256,0.8634666873187553,0.9190184357689648,0.9846947149532598,1.0565760659008492,1.139719273985886,1.2152254581451416,1.28333105401295,1.3302925359912035,1.3477506056064512,1.346141120282615,1.319343750069781,1.2831694847199975,1.2382551984089176,1.1906046634767113,1.1311771840583988,1.0654133136679487,1.0036385291960181,0.9432506982873126,0.8843863228472267,0.8384373813140683,0.7935104370117188,0.7608145984207711,0.7290260777240847,0.7098839820885077,0.7001451690022539,0.6990370939417583,0.7027835438891155,0.709002401770615,0.7243092496220659,0.7464735827794889,0.7707136840355105,0.8032523059263462,0.8433743598984509,0.8916919900149833,0.9484388145004831,1.0218588840670702,1.1037796793914423,1.1848092428067836,1.2653451053107656,1.3326304743929607,1.3643961476116646,41,False
