LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frames),(pixels/frames),(pixels),(frames),(pixels),(pixels),(pixels),
ID47130 → ID47292,0,47130,47292,0.10017411921610642,1.4992750207266101,0.9223932512921026,0.9223932512921026,6.5,481.84160879567514,130.33063253798736,0.0,
ID47169 → ID47148,0,47169,47148,0.09960524741816523,0.16632116349113032,1.1578571347791144,1.1578571347791144,1.5,481.37174665631665,131.36656365947658,0.0,
ID47204 → ID47130,0,47204,47130,0.0638650384587458,2.755645521788742,0.5050863037583203,0.5050863037583203,5.5,481.6128005856483,130.82131924052817,0.0,
ID47487 → ID47315,0,47487,47315,0.11603504849816626,0.19014272734260693,1.1265210475271858,1.1265210475271858,11.5,483.03771421456736,129.87175236972644,0.0,
ID47114 → ID47203,0,47114,47203,0.08088707949431284,0.16929600998170732,0.38695861348199184,0.38695861348199184,3.5,481.03841930209376,130.6197876293668,0.0,
ID47315 → ID47337,0,47315,47337,0.05209130387259808,0.05276477268483984,0.09768005751900427,0.09768005751900427,12.5,483.60726037041826,130.0958230958231,0.0,
ID47344 → ID47412,0,47344,47412,0.251465305350728,1.2445298167792793,2.842445458394548,2.842445458394548,14.5,482.97729684759634,128.48786307105775,0.0,
ID47499 → ID47487,0,47499,47487,0.09011796557725782,1.2554169981401961,1.036821776499797,1.036821776499797,10.5,482.00270419534684,129.5746967937235,0.0,
ID47203 → ID47204,0,47203,47204,0.09748168524191458,2.7915726460056423,1.0026339616745157,1.0026339616745157,4.5,481.33889561519777,130.74722534730688,0.0,
ID47811 → ID47169,0,47811,47169,0.0898698272321865,NaN,0.6447429737532053,0.6447429737532053,0.5,480.53820561633063,131.0313020962692,0.0,
ID47292 → ID47199,0,47292,47199,0.13306151252596043,2.4122432430858733,1.5705457209067468,1.5705457209067468,7.5,481.42577380313867,129.98950141050756,0.0,
