LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID39744,39744,0,690.0,85.80016945049624,114.00714112805616,0.0,1.0,1,14.803930445578967,1,,672.3135838150289,674.0,333.0,1068.0,465241.0,140.89109090653594,0.5622177267540855,3.434640789071745,-0.07129129606373684,0.09053371606043091,17.537832169862543,12.718138388290608,-0.8039420847173236,1.3789622061361868,688.4999999999999,99.53951825152744,0.8732181209235629,0.9752124645892352,3.7935303435341985
ID40768,40768,0,721.0,81.04334724153917,115.47844228094576,0.0,26.0,26,15.12827842704336,1,,703.9694019471489,706.0,397.0,979.0,506154.0,121.4688041089044,0.5756475605977649,4.23464111646484,0.060987042409228455,0.07315796209546596,17.789849519760164,13.072595141988229,-0.5478690932861083,1.3608506441556087,719.0000000000001,99.54325131382542,0.9118325913411744,0.9829118250170882,3.7123368514518313
ID40769,40769,0,718.0,79.74843858431645,114.88329863520704,0.0,27.0,27,15.144050745933901,1,,701.1163434903048,707.0,316.0,1016.0,506206.0,118.89570615439074,0.5747922956248829,4.30468694163043,-0.030404901573837843,0.1597179625758803,17.888360215496444,13.100076997336826,-0.5319419036365738,1.365515654536462,720.4999999999999,98.83821024967851,0.9268172405138434,0.9883401920438958,3.682204293613048
ID41281,41281,0,735.0,81.04370471014492,114.03260869565217,0.0,35.0,35,15.306079714651624,1,,701.0149659863946,698.0,388.0,1024.0,515246.0,110.32950916755132,0.578005047205253,4.65466941859003,-0.12959090438013562,-0.017827888913601174,17.777524494927935,13.4336048329946,2.6013277037148645,1.3233621738867984,735.9999999999999,100.91380870137586,0.9082104256447122,0.9813333333333333,3.7197323394929844
ID41473,41473,0,746.0,80.29377777777778,112.97733333333333,0.0,41.0,41,15.450968080927586,1,,710.0213618157543,706.0,391.0,1017.0,531806.0,121.33739839367382,0.5875613533227321,4.331411409507925,-0.043813690560164785,-0.06674074021225118,17.833902804623566,13.806685671226369,-0.5708674741580385,1.2916860156952847,750.0000000000002,100.74695682185164,0.9285541901710426,0.9868421052631583,3.6787587234218075
ID40323,40323,0,749.0,79.97959866220735,115.65250836120401,0.0,19.0,19,15.425194971940664,1,,669.4072580645161,681.0,386.0,992.0,498039.0,107.2542017662215,0.5461951101561817,4.409502669321564,0.015465939822153052,0.05925222336523622,17.94795772004656,13.387487843638766,-0.6706031353149078,1.340651653967683,747.5,103.80238419791385,0.8717790004855154,0.9745762711864406,3.796660205489589
ID40900,40900,0,729.0,80.1012891344383,115.07458563535911,0.0,31.0,31,15.180789096653193,1,,706.5883977900553,706.0,413.0,1038.0,511570.0,122.07835580112354,0.5832035239382279,4.264235858829578,-0.038734996710788935,0.0028780903497822915,17.459115152285438,13.374263818832002,-0.53765866895591,1.305426256636395,724.0,99.64229018131317,0.9163492496915556,0.9850340136054422,3.703176550521579
