LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frames),(frames),(frames),(pixels),(pixels),(pixels),(pixels),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(pixels/frames),(quality),(pixels),(pixels),,(pixels/frames),,(rad/frames)
Track_0,0,0,42,0,0,0,0,0,41.0,0.0,41.0,2.0914276309762356,74.43716722989016,403.81534453133827,0.0,0.8097928488345489,2.073456871037352,0.14650430764574604,0.6798930437764547,0.4402177244674407,660.0714285714286,33.201506802216514,3.6781986046140056,0.06299194923396106,0.05101043002381062,0.06299194923396108,1.2874161618909414
Track_1,1,1,25,0,0,0,0,0,24.0,0.0,24.0,6.791367359261795,364.588509777901,404.25969696281777,0.0,0.8320925772800819,1.9328074913595057,0.10529044703021931,0.7429351142765301,0.4249063119922749,875.96,19.970221854721967,6.791367359261795,0.34007470766560227,0.28297363996924146,0.3400747076656023,1.5791888409252217
Track_2,2,2,42,0,0,0,0,0,41.0,0.0,41.0,7.119660592791731,99.81064468692217,474.89426318227424,0.0,0.8974122296209275,1.7936619697881575,0.21621765539522672,0.9025048949438593,0.39955745747186705,755.2619047619048,36.793901414458034,11.577798857622279,0.19350110532160325,0.1736502583607739,0.19350110532160328,1.1535977644526496
Track_3,3,3,42,0,0,0,0,0,41.0,0.0,41.0,6.362437891047042,243.62450022327374,473.9404717622011,0.0,1.0080071302875149,5.0490571727609,0.06707996897352064,0.6510974864771248,1.0708416614312573,423.35714285714283,41.32829234178813,8.955370745068565,0.1539487244822311,0.15518141197675714,0.15394872448223118,1.583384017848277
Track_4,4,4,18,0,0,0,0,0,17.0,0.0,17.0,5.8497696331621105,188.03507608341056,484.44710845136444,0.0,1.471078772321902,4.457812186512117,0.275839637414248,1.0725050655043367,1.2049855908580103,777.4444444444445,25.008339129472336,8.842651772218051,0.23391276017479126,0.34410409606835946,0.23391276017479126,1.548356143825835
Track_5,5,5,42,0,0,0,0,0,41.0,0.0,41.0,5.0234142343703825,48.129985195738634,500.07711694423114,0.0,0.7054726412567902,2.0979432979452706,0.32879276982653455,0.5706875471062115,0.3507965684387104,530.6904761904761,28.92437829152839,5.591645362934347,0.17367406081262882,0.12252229839927763,0.17367406081262876,1.2082063649430825
Track_6,6,6,42,0,0,0,0,0,41.0,0.0,41.0,2.9293520896893233,505.67293320847887,504.4441175528869,0.0,0.35982074337518827,1.0890187870614683,0.0,0.32400844422597697,0.24653591649165252,164.4047619047619,14.752650478382716,3.932940849085521,0.19856446094088298,0.07144761194364203,0.19856446094088293,1.3141499992920214
